listing_url,price,town,bedrooms,bathrooms,area,floor,tenure,property_type,listing_id,address_from_url,postal_code,onemap_full_address,onemap_road_name,latitude,longitude,nearest_mrt_name,nearest_mrt_exit,nearest_mrt_distance_m,num_mrt_within_1000m,nearest_clinic_name,nearest_clinic_distance_m,nearest_park_name,nearest_park_distance_m,nearest_community_club_name,nearest_community_club_distance_m,nearest_hawker_name,nearest_hawker_distance_m,num_clinic_within_1000m,num_park_within_1000m,num_community_club_within_1000m,num_hawker_within_1000m,num_amenities_within_1000m
https://www.propertyguru.com.sg/listing/hdb-for-sale-588d-ang-mo-kio-street-52-500066200,"S$ 1,180,000",Ang Mo Kio,3,2,980 sqft,,,HDB,500066200,588D Ang Mo Kio Street 52,564588,588D ANG MO KIO STREET 52 PARK CENTRAL @ AMK SINGAPORE 564588,ANG MO KIO STREET 52,1.371754007,103.8538833,ANG MO KIO MRT STATION,Exit D,496.8,1,,97.1,ANG MO KIO TOWN GARDEN EAST,263.6,Cheng San CC (Pending U/C),480,Ang Mo Kio Ave 10 Blk 527 (Cheng San Market and Cooked Food Centre),129.5,29,3,2,3,37
https://www.propertyguru.com.sg/listing/hdb-for-sale-489-admiralty-link-60208421,"S$ 599,999",Clementi,3,2,"1,033 sqft",High floor,,HDB,60208421,489 Admiralty Link,750489,489 ADMIRALTY LINK SEMBAWANG GREEN SINGAPORE 750489,ADMIRALTY LINK,1.454951192,103.8168198,SEMBAWANG MRT STATION,Exit C,719.4,1,,182.8,PARK AT SEMBAWANG ALLEY,703.1,Canberra CC,1134.6,Yishun Ring Road Blk 104/105 (Chong Pang Market and Food Centre),2907.7,8,2,0,0,10
https://www.propertyguru.com.sg/listing/hdb-for-sale-312-bukit-batok-street-32-500019442,"S$ 430,000",Bukit Batok,2,2,732 sqft,,,HDB,500019442,312 Bukit Batok Street 32,650312,312 BUKIT BATOK STREET 32 SINGAPORE 650312,BUKIT BATOK STREET 32,1.359878751,103.7473357,BUKIT GOMBAK MRT STATION,Exit C,496.9,1,,380,BUKIT BATOK TOWN PARK,696,Hong Kah North CC,252.9,Jurong East Street 24 Blk 254 (Yuhua Village Market and Food Centre),2103.7,14,2,1,0,17
https://www.propertyguru.com.sg/listing/hdb-for-sale-312-bukit-batok-street-32-500019442,"S$ 430,000",Bukit Batok,2,2,732 sqft,,,HDB,500019442,312 Bukit Batok Street 32,650312,312 BUKIT BATOK STREET 32 SINGAPORE 650312,BUKIT BATOK STREET 32,1.359878751,103.7473357,BUKIT GOMBAK MRT STATION,Exit C,496.9,1,,380,BUKIT BATOK TOWN PARK,696,Hong Kah North CC,252.9,Jurong East Street 24 Blk 254 (Yuhua Village Market and Food Centre),2103.7,14,2,1,0,17
https://www.propertyguru.com.sg/listing/hdb-for-sale-67-marine-drive-60216010,"S$ 477,888",Clementi,2,1,700 sqft,Mid floor,,HDB,60216010,67 Marine Drive,440067,67 MARINE DRIVE MARINE DRIVE GARDENS SINGAPORE 440067,MARINE DRIVE,1.304457437,103.9096029,MARINE PARADE MRT STATION,Exit 5,136.5,2,,345.8,MARINE PARADE RD PK,104.7,Marine Parade CC (Pending U/C),41.5,Marine Parade Central Blk 84 (84 Marine Parade Central Market and Food Centre),434.3,12,6,2,2,22
https://www.propertyguru.com.sg/listing/hdb-for-sale-67-marine-drive-60216010,"S$ 477,888",Clementi,2,1,700 sqft,Mid floor,,HDB,60216010,67 Marine Drive,440067,67 MARINE DRIVE MARINE DRIVE GARDENS SINGAPORE 440067,MARINE DRIVE,1.304457437,103.9096029,MARINE PARADE MRT STATION,Exit 5,136.5,2,,345.8,MARINE PARADE RD PK,104.7,Marine Parade CC (Pending U/C),41.5,Marine Parade Central Blk 84 (84 Marine Parade Central Market and Food Centre),434.3,12,6,2,2,22
https://www.propertyguru.com.sg/listing/hdb-for-sale-94-dawson-road-500033976,"S$ 1,299,999",Clementi,3,2,893 sqft,High Floor,,HDB,500033976,94 Dawson Road,141094,94 DAWSON ROAD SKYPARC @ DAWSON SINGAPORE 141094,DAWSON ROAD,1.296274834,103.8112064,QUEENSTOWN MRT STATION,Exit B,585.7,2,,192.7,CAMP ROAD INTERIM PARK,999.6,Leng Kee CC,803,Mei Chin Road Blk 159 (Mei Chin Road Market),983.2,10,0,1,1,12
https://www.propertyguru.com.sg/listing/hdb-for-sale-94-dawson-road-500033976,"S$ 1,299,999",Clementi,3,2,893 sqft,High Floor,,HDB,500033976,94 Dawson Road,141094,94 DAWSON ROAD SKYPARC @ DAWSON SINGAPORE 141094,DAWSON ROAD,1.296274834,103.8112064,QUEENSTOWN MRT STATION,Exit B,585.7,2,,192.7,CAMP ROAD INTERIM PARK,999.6,Leng Kee CC,803,Mei Chin Road Blk 159 (Mei Chin Road Market),983.2,10,0,1,1,12
https://www.propertyguru.com.sg/listing/hdb-for-sale-613-bukit-panjang-ring-road-500093078,"S$ 565,000",Bukit Panjang,3,2,969 sqft,,,HDB,500093078,613 Bukit Panjang Ring Road,670613,613 BUKIT PANJANG RING ROAD SINGAPORE 670613,BUKIT PANJANG RING ROAD,1.384366729,103.7620462,SENJA LRT STATION,Exit A,167.8,8,,166.9,RAIL CORRIDOR,633.1,Senja-Cashew CC,423.2,Jurong East Street 24 Blk 254 (Yuhua Village Market and Food Centre),5267.8,19,1,1,0,21
https://www.propertyguru.com.sg/listing/hdb-for-sale-114-bedok-reservoir-road-60047435,"S$ 999,999",Bedok,4,3,"1,614 sqft",High floor,,HDB,60047435,114 Bedok Reservoir Road,470114,114 BEDOK RESERVOIR ROAD EUNOS VISTA SINGAPORE 470114,BEDOK RESERVOIR ROAD,1.33056066,103.9098389,KAKI BUKIT MRT STATION,Exit B,488.4,2,,84.1,JALAN SINGA PARK,299.1,Eunos CC (Pending U/C),630.1,Bedok Reservoir Road Blk 630,542.6,17,14,2,1,34
https://www.propertyguru.com.sg/listing/hdb-for-sale-49-strathmore-avenue-500040522,"S$ 1,100,000",Bukit Merah,3,2,969 sqft,High floor,,HDB,500040522,49 Strathmore Avenue,140049,49 STRATHMORE AVENUE FORFAR HEIGHTS SINGAPORE 140049,STRATHMORE AVENUE,1.294021643,103.8082128,QUEENSTOWN MRT STATION,Exit B,214.3,1,,224,RAIL CORRIDOR,990.7,Leng Kee CC,837.2,Mei Chin Road Blk 159 (Mei Chin Road Market),597.2,18,1,2,3,24
https://www.propertyguru.com.sg/listing/hdb-for-sale-49-strathmore-avenue-500040522,"S$ 1,100,000",Bukit Merah,3,2,969 sqft,High floor,,HDB,500040522,49 Strathmore Avenue,140049,49 STRATHMORE AVENUE FORFAR HEIGHTS SINGAPORE 140049,STRATHMORE AVENUE,1.294021643,103.8082128,QUEENSTOWN MRT STATION,Exit B,214.3,1,,224,RAIL CORRIDOR,990.7,Leng Kee CC,837.2,Mei Chin Road Blk 159 (Mei Chin Road Market),597.2,18,1,2,3,24
https://www.propertyguru.com.sg/listing/hdb-for-sale-93-paya-lebar-way-60219411,"S$ 300,000",Clementi,2,1,624 sqft,,,HDB,60219411,93 Paya Lebar Way,370093,93 PAYA LEBAR WAY SINGAPORE 370093,PAYA LEBAR WAY,1.322734769,103.8881032,MACPHERSON MRT STATION,Exit D,269.4,5,,201.2,GEYLANG EAST PK,76.8,MacPherson CC,412.7,Aljunied Ave 2 Blk 117 (Blk 117 Aljunied Market and Food Centre),260.3,18,3,1,4,26
https://www.propertyguru.com.sg/listing/for-sale-pinery-residences-60241655,"S$ 3,526,000",Bedok,5,3,"1,475 sqft",,,HDB,60241655,For Sale Pinery Residences,,,,,,,,,,,,,,,,,,,,,,
https://www.propertyguru.com.sg/listing/hdb-for-sale-467-ang-mo-kio-avenue-10-500052274,"S$ 533,000",Ang Mo Kio,3,2,990 sqft,High Floor,,HDB,500052274,467 Ang Mo Kio Avenue 10,560467,467 ANG MO KIO AVENUE 10 TECK GHEE HORIZON SINGAPORE 560467,ANG MO KIO AVENUE 10,1.365391066,103.8568036,ANG MO KIO MRT STATION,Exit A,886.9,1,,211.2,HAUS LINEAR PARK,365.3,Teck Ghee CC,443.9,Ang Mo Kio Ave 10 Blk 453A (Chong Boon Market and Food Centre),319.7,26,4,1,4,35
https://www.propertyguru.com.sg/listing/hdb-for-sale-467-ang-mo-kio-avenue-10-500052274,"S$ 533,000",Ang Mo Kio,3,2,990 sqft,High Floor,,HDB,500052274,467 Ang Mo Kio Avenue 10,560467,467 ANG MO KIO AVENUE 10 TECK GHEE HORIZON SINGAPORE 560467,ANG MO KIO AVENUE 10,1.365391066,103.8568036,ANG MO KIO MRT STATION,Exit A,886.9,1,,211.2,HAUS LINEAR PARK,365.3,Teck Ghee CC,443.9,Ang Mo Kio Ave 10 Blk 453A (Chong Boon Market and Food Centre),319.7,26,4,1,4,35
https://www.propertyguru.com.sg/listing/hdb-for-sale-81-commonwealth-close-23663635,"S$ 350,000",Bukit Batok,2,2,614 sqft,High floor,,HDB,23663635,81 Commonwealth Close,140081,81 COMMONWEALTH CLOSE COMMONWEALTH HEIGHTS SINGAPORE 140081,COMMONWEALTH CLOSE,1.303787444,103.8003853,COMMONWEALTH MRT STATION,Exit C,260.3,2,,310.4,RAIL CORRIDOR,661.6,Queenstown CC,522.9,Commonwealth Crescent Market,344.2,12,2,1,3,18
https://www.propertyguru.com.sg/listing/hdb-for-sale-287d-jurong-east-street-21-500024496,"S$ 1,068,000",Clementi,3,2,"1,561 sqft",high floor,,HDB,500024496,287D Jurong East Street 21,604287,287D JURONG EAST STREET 21 SINGAPORE 604287,JURONG EAST STREET 21,1.337869388,103.7441144,JURONG EAST MRT STATION,Exit A,502.7,1,,318.7,JAPANESE GARDENS,1227.5,Yuhua CC,818.2,Jurong East Street 24 Blk 254 (Yuhua Village Market and Food Centre),943.1,21,0,1,1,23
https://www.propertyguru.com.sg/listing/hdb-for-sale-235-bukit-batok-east-avenue-5-500081350,"S$ 425,000",Bukit Batok,2,2,743 sqft,,,HDB,500081350,235 Bukit Batok East Avenue 5,650235,235 BUKIT BATOK EAST AVENUE 5 GOMBAK GARDENS SINGAPORE 650235,BUKIT BATOK EAST AVENUE 5,1.348483521,103.7563004,BUKIT BATOK MRT STATION,Exit A,714.1,1,,119.7,BUKIT BATOK TOWN PARK,486.4,Bukit Batok East CC (U/C),218.2,Jurong East Street 24 Blk 254 (Yuhua Village Market and Food Centre),2138.3,16,3,2,0,21
https://www.propertyguru.com.sg/listing/hdb-for-sale-235-bukit-batok-east-avenue-5-500081350,"S$ 425,000",Bukit Batok,2,2,743 sqft,,,HDB,500081350,235 Bukit Batok East Avenue 5,650235,235 BUKIT BATOK EAST AVENUE 5 GOMBAK GARDENS SINGAPORE 650235,BUKIT BATOK EAST AVENUE 5,1.348483521,103.7563004,BUKIT BATOK MRT STATION,Exit A,714.1,1,,119.7,BUKIT BATOK TOWN PARK,486.4,Bukit Batok East CC (U/C),218.2,Jurong East Street 24 Blk 254 (Yuhua Village Market and Food Centre),2138.3,16,3,2,0,21
https://www.propertyguru.com.sg/listing/hdb-for-sale-410-commonwealth-avenue-west-60229284,"S$ 638,888",Clementi,3,2,"1,044 sqft",High floor,,HDB,60229284,410 Commonwealth Avenue West,120410,410 COMMONWEALTH AVENUE WEST SINGAPORE 120410,COMMONWEALTH AVENUE WEST,1.311441232,103.769692,CLEMENTI MRT STATION,Exit C,532,2,,215.7,TAMAN MAS MERAH PLAYGROUND,595.4,Clementi CC,833.2,Clementi Ave 2 Blk 353 (Clementi Ave 2 Market/Cooked Food Centre),347.1,22,4,1,2,29
https://www.propertyguru.com.sg/listing/hdb-for-sale-643-ang-mo-kio-avenue-5-500030514,"S$ 440,000",Ang Mo Kio,2,2,807 sqft,Mid Floor,,HDB,500030514,643 Ang Mo Kio Avenue 5,560643,643 ANG MO KIO AVENUE 5 ANG MO KIO 61 SINGAPORE 560643,ANG MO KIO AVENUE 5,1.377506269,103.8405572,MAYFLOWER MRT STATION,Exit 3,558.4,3,,227.7,ANG MO KIO TOWN GARDEN WEST,164.2,Yio Chu Kang CC (Pending U/C),454,Ang Mo Kio Ave 4 Blk 160/162 (Mayflower Market),363.5,26,9,2,3,40
https://www.propertyguru.com.sg/listing/hdb-for-sale-96-bedok-north-avenue-4-500043548,"S$ 725,000",Bedok,3,2,"1,324 sqft",High Floor,,HDB,500043548,96 Bedok North Avenue 4,460096,96 BEDOK NORTH AVENUE 4 SINGAPORE 460096,BEDOK NORTH AVENUE 4,1.333264781,103.9403349,BEDOK RESERVOIR MRT STATION,Exit B,844.5,2,,169.8,JLN PARI DEDAP PG,357.4,Fengshan CC,308.2,Bedok North Street 4 Blk 85 (85 Fengshan Centre),223.2,17,5,2,1,25
https://www.propertyguru.com.sg/listing/hdb-for-sale-96-bedok-north-avenue-4-500043548,"S$ 725,000",Bedok,3,2,"1,324 sqft",High Floor,,HDB,500043548,96 Bedok North Avenue 4,460096,96 BEDOK NORTH AVENUE 4 SINGAPORE 460096,BEDOK NORTH AVENUE 4,1.333264781,103.9403349,BEDOK RESERVOIR MRT STATION,Exit B,844.5,2,,169.8,JLN PARI DEDAP PG,357.4,Fengshan CC,308.2,Bedok North Street 4 Blk 85 (85 Fengshan Centre),223.2,17,5,2,1,25
https://www.propertyguru.com.sg/listing/hdb-for-sale-342-clementi-avenue-5-500066493,"S$ 798,000",Clementi,3,2,"1,302 sqft",10th floor,,HDB,500066493,342 Clementi Avenue 5,120342,342 CLEMENTI AVENUE 5 SINGAPORE 120342,CLEMENTI AVENUE 5,1.318363214,103.7698465,CLEMENTI MRT STATION,Exit B,609.5,1,,112.6,CLEMENTI CRESCENT PG,644.4,Clementi CC,194.9,Clementi Ave 2 Blk 353 (Clementi Ave 2 Market/Cooked Food Centre),453.9,20,2,1,2,25
https://www.propertyguru.com.sg/listing/hdb-for-sale-24-hougang-avenue-3-500066281,"S$ 400,000",Clementi,2,2,721 sqft,,,HDB,500066281,24 Hougang Avenue 3,530024,24 HOUGANG AVENUE 3 SINGAPORE 530024,HOUGANG AVENUE 3,1.365512261,103.8920855,HOUGANG MRT STATION,Exit A,520.8,2,,308.5,REALTY PARK,144.6,Hougang CC,102.6,Hougang Street 21 Blk 209 (Kovan Hougang Market and Food Centre),977.6,15,2,2,1,20
