listing_url,price,town,bedrooms,bathrooms,area,floor,tenure,property_type,listing_id,address_from_url,postal_code,onemap_full_address,onemap_road_name,latitude,longitude,nearest_mrt,nearest_exit,nearest_mrt_distance_m,nearest_clinic_name,nearest_clinic_distance_m,nearest_park_name,nearest_park_distance_m,nearest_community_club_name,nearest_community_club_distance_m
https://www.propertyguru.com.sg/listing/hdb-for-sale-312-bukit-batok-street-32-500019442,"S$ 430,000",Bukit Batok,2,2.0,732 sqft,,,HDB,500019442,312 Bukit Batok Street 32,650312.0,312 BUKIT BATOK STREET 32 SINGAPORE 650312,BUKIT BATOK STREET 32,1.35987875096146,103.74733565667,BUKIT GOMBAK MRT STATION,Exit C,496.4313001714229,kml_65,380.0,BUKIT BATOK TOWN PARK,696.0,Hong Kah North CC,252.9
https://www.propertyguru.com.sg/listing/hdb-for-sale-67-marine-drive-60216010,"S$ 477,888",Clementi,2,1.0,700 sqft,Mid floor,,HDB,60216010,67 Marine Drive,440067.0,67 MARINE DRIVE MARINE DRIVE GARDENS SINGAPORE 440067,MARINE DRIVE,1.30445743674353,103.909602924396,MARINE PARADE MRT STATION,Exit 5,137.0815688850418,kml_685,345.8,MARINE PARADE RD PK,104.7,Marine Parade CC (Pending U/C),41.5
https://www.propertyguru.com.sg/listing/hdb-for-sale-67-marine-drive-60216010,"S$ 477,888",Clementi,2,1.0,700 sqft,Mid floor,,HDB,60216010,67 Marine Drive,440067.0,67 MARINE DRIVE MARINE DRIVE GARDENS SINGAPORE 440067,MARINE DRIVE,1.30445743674353,103.909602924396,MARINE PARADE MRT STATION,Exit 5,137.0815688850418,kml_765,345.8,MARINE PARADE RD PK,104.7,Marine Parade CC (Pending U/C),41.5
https://www.propertyguru.com.sg/listing/hdb-for-sale-94-dawson-road-500033976,"S$ 1,299,999",Clementi,3,2.0,893 sqft,High Floor,,HDB,500033976,94 Dawson Road,141094.0,94 DAWSON ROAD SKYPARC @ DAWSON SINGAPORE 141094,DAWSON ROAD,1.29627483410181,103.811206437575,QUEENSTOWN MRT STATION,Exit B,585.5568609738189,kml_1036,192.7,CAMP ROAD INTERIM PARK,999.6,Leng Kee CC,803.0
https://www.propertyguru.com.sg/listing/hdb-for-sale-94-dawson-road-500033976,"S$ 1,299,999",Clementi,3,2.0,893 sqft,High Floor,,HDB,500033976,94 Dawson Road,141094.0,94 DAWSON ROAD SKYPARC @ DAWSON SINGAPORE 141094,DAWSON ROAD,1.29627483410181,103.811206437575,QUEENSTOWN MRT STATION,Exit B,585.5568609738189,kml_299,192.7,CAMP ROAD INTERIM PARK,999.6,Leng Kee CC,803.0
https://www.propertyguru.com.sg/listing/hdb-for-sale-613-bukit-panjang-ring-road-500093078,"S$ 565,000",Bukit Panjang,3,2.0,969 sqft,,,HDB,500093078,613 Bukit Panjang Ring Road,670613.0,613 BUKIT PANJANG RING ROAD SINGAPORE 670613,BUKIT PANJANG RING ROAD,1.38436672930183,103.762046231912,SENJA LRT STATION,Exit A,168.70936230111673,kml_1057,166.9,RAIL CORRIDOR,633.1,Senja-Cashew CC,423.2
https://www.propertyguru.com.sg/listing/hdb-for-sale-114-bedok-reservoir-road-60047435,"S$ 999,999",Bedok,4,3.0,"1,614 sqft",High floor,,HDB,60047435,114 Bedok Reservoir Road,470114.0,114 BEDOK RESERVOIR ROAD EUNOS VISTA SINGAPORE 470114,BEDOK RESERVOIR ROAD,1.33056065989658,103.909838947885,KAKI BUKIT MRT STATION,Exit B,491.02180654148674,kml_1092,84.1,JALAN SINGA PARK,299.1,Eunos CC (Pending U/C),630.1
https://www.propertyguru.com.sg/listing/hdb-for-sale-49-strathmore-avenue-500040522,"S$ 1,100,000",Bukit Merah,3,2.0,969 sqft,High floor,,HDB,500040522,49 Strathmore Avenue,140049.0,49 STRATHMORE AVENUE FORFAR HEIGHTS SINGAPORE 140049,STRATHMORE AVENUE,1.29402164281341,103.808212801667,QUEENSTOWN MRT STATION,Exit B,214.12561683204171,kml_1036,224.0,RAIL CORRIDOR,990.7,Leng Kee CC,837.2
https://www.propertyguru.com.sg/listing/hdb-for-sale-49-strathmore-avenue-500040522,"S$ 1,100,000",Bukit Merah,3,2.0,969 sqft,High floor,,HDB,500040522,49 Strathmore Avenue,140049.0,49 STRATHMORE AVENUE FORFAR HEIGHTS SINGAPORE 140049,STRATHMORE AVENUE,1.29402164281341,103.808212801667,QUEENSTOWN MRT STATION,Exit B,214.12561683204171,kml_299,224.0,RAIL CORRIDOR,990.7,Leng Kee CC,837.2
https://www.propertyguru.com.sg/listing/hdb-for-sale-93-paya-lebar-way-60219411,"S$ 300,000",Clementi,2,1.0,624 sqft,,,HDB,60219411,93 Paya Lebar Way,370093.0,93 PAYA LEBAR WAY SINGAPORE 370093,PAYA LEBAR WAY,1.32273476922747,103.888103196257,MACPHERSON MRT STATION,Exit D,270.8916323279677,kml_505,201.2,GEYLANG EAST PK,76.8,MacPherson CC,412.7
