address,latitude,longitude,matched_address,status
40 CHAI CHEE AVE,1.32604335303082,103.926488452026,40 CHAI CHEE AVENUE ANSAR GARDEN SINGAPORE 461040,ok
57 NEW UPP CHANGI RD,1.32424554153984,103.941568704132,57 NEW UPPER CHANGI ROAD SINGAPORE 461057,ok
401 BEDOK NTH AVE 3,1.33098173461878,103.933604621756,401 BEDOK NORTH AVENUE 3 RAINBOW VILLE SINGAPORE 460401,ok
2 BEDOK STH AVE 1,1.32130118793544,103.933299574181,2 BEDOK SOUTH AVENUE 1 SINGAPORE 460002,ok
116 BEDOK NTH RD,1.33100823526591,103.938066838998,116 BEDOK NORTH ROAD SINGAPORE 460116,ok
419 BEDOK NTH ST 1,1.32696621417456,103.928135771625,419 BEDOK NORTH STREET 1 GARDEN HILL SINGAPORE 460419,ok
107 BEDOK NTH RD,1.33231740745783,103.936301267285,107 BEDOK NORTH ROAD FENGSHAN ESTATE SINGAPORE 460107,ok
221B BEDOK CTRL,1.32500043309616,103.934497810091,221B BEDOK CENTRAL LINEAR GREEN @ BEDOK SINGAPORE 462221,ok
219A BEDOK CTRL,1.32531112114443,103.933278106545,219A BEDOK CENTRAL LINEAR GREEN @ BEDOK SINGAPORE 461219,ok
512 BEDOK NTH AVE 2,1.33336715518929,103.929177675999,512 BEDOK NORTH AVENUE 2 KAKI BUKIT GREEN SINGAPORE 460512,ok
131 BEDOK RESERVOIR RD,1.3331220560709,103.911711197755,131 BEDOK RESERVOIR ROAD EUNOS SPRING SINGAPORE 470131,ok
147 BEDOK RESERVOIR RD,1.33488194247883,103.911778859623,147 BEDOK RESERVOIR ROAD EUNOS SPRING SINGAPORE 470147,ok
117 BEDOK NTH RD,1.33065454769523,103.938496275607,117 BEDOK NORTH ROAD SINGAPORE 460117,ok
82 BEDOK NTH RD,1.32953680475668,103.940406562732,82 BEDOK NORTH ROAD SINGAPORE 460082,ok
121 BEDOK NTH RD,1.32964201790706,103.938821071117,121 BEDOK NORTH ROAD SINGAPORE 460121,ok
536 BEDOK NTH ST 3,1.3335411894605,103.923190774432,536 BEDOK NORTH STREET 3 SINGAPORE 460536,ok
517 BEDOK NTH AVE 2,1.33108906602956,103.929204536012,517 BEDOK NORTH AVENUE 2 KAKI BUKIT GREEN SINGAPORE 460517,ok
34 BEDOK STH AVE 2,1.32205652925918,103.93835472666,34 BEDOK SOUTH AVENUE 2 BEDOK SOUTH PARKVIEW SINGAPORE 460034,ok
6 BEDOK STH AVE 2,1.32221710776614,103.934991224907,6 BEDOK SOUTH AVENUE 2 SINGAPORE 460006,ok
37 BEDOK STH AVE 2,1.32190663617287,103.939847213862,37 BEDOK SOUTH AVENUE 2 BEDOK SOUTH PARKVIEW SINGAPORE 460037,ok
35 BEDOK STH AVE 2,1.32233220742919,103.939766219283,35 BEDOK SOUTH AVENUE 2 BEDOK SOUTH PARKVIEW SINGAPORE 460035,ok
724 BEDOK RESERVOIR RD,1.33714403979137,103.928433830286,724 BEDOK RESERVOIR ROAD RESERVOIR VIEW SINGAPORE 470724,ok
523 BEDOK NTH ST 3,1.33435471975894,103.930612016802,523 BEDOK NORTH STREET 3 SINGAPORE 460523,ok
65 NEW UPP CHANGI RD,1.32467852779302,103.939770313241,65 NEW UPPER CHANGI ROAD SINGAPORE 460065,ok
132 BEDOK NTH ST 2,1.32775288998395,103.936709340476,132 BEDOK NORTH STREET 2 SINGAPORE 460132,ok
62 NEW UPP CHANGI RD,1.32332667400534,103.940030188552,62 NEW UPPER CHANGI ROAD SINGAPORE 461062,ok
428 BEDOK NTH RD,1.32953994162628,103.9276500842,428 BEDOK NORTH ROAD GARDEN HILL SINGAPORE 460428,ok
772 BEDOK RESERVOIR VIEW,1.3364625679398,103.937895451472,772 BEDOK RESERVOIR VIEW LONGVALE SINGAPORE 470772,ok
774 BEDOK RESERVOIR VIEW,1.3365822191075,103.93670727972,774 BEDOK RESERVOIR VIEW LONGVALE SINGAPORE 470774,ok
768 BEDOK RESERVOIR VIEW,1.33566434343811,103.937321681832,768 BEDOK RESERVOIR VIEW LONGVALE SINGAPORE 470768,ok
180 BEDOK NTH RD,1.3267134876497,103.940892186551,180 BEDOK NORTH ROAD VISTA 8 SINGAPORE 460180,ok
611 BEDOK RESERVOIR RD,1.33101555033747,103.915165583026,611 BEDOK RESERVOIR ROAD EUNOS GROVE SINGAPORE 470611,ok
602 BEDOK RESERVOIR RD,1.32934898685946,103.911583237057,602 BEDOK RESERVOIR ROAD EUNOS RAINBOW SINGAPORE 470602,ok
101 BEDOK RESERVOIR RD,1.32844913301985,103.909937396599,101 BEDOK RESERVOIR ROAD EUNOS VISTA SINGAPORE 470101,ok
506 BEDOK NTH AVE 3,1.33214280816285,103.933720223574,506 BEDOK NORTH AVENUE 3 KAKI BUKIT VILLE SINGAPORE 460506,ok
99 BEDOK NTH AVE 4,1.33393217749941,103.939470307742,99 BEDOK NORTH AVENUE 4 PEARL GARDEN SINGAPORE 460099,ok
553 BEDOK NTH AVE 1,1.33149366261597,103.927818703986,553 BEDOK NORTH AVENUE 1 SINGAPORE 460553,ok
804 CHAI CHEE RD,1.3242250727223,103.922021941751,804 CHAI CHEE ROAD PING-AN GARDENS SINGAPORE 460804,ok
659 JLN TENAGA,1.33433246206686,103.906386015918,659 JALAN TENAGA EUNOS DAMAI VILLE SINGAPORE 410659,ok
405 BEDOK NTH AVE 3,1.32871338222698,103.93409540275,405 BEDOK NORTH AVENUE 3 RAINBOW VILLE SINGAPORE 460405,ok
172 BEDOK STH RD,1.32066917100909,103.94468952936,172 BEDOK SOUTH ROAD PCF SPARKLETOTS PRESCHOOL @ SIGLAP 172 (CC) SINGAPORE 460172,ok
406 BEDOK NTH AVE 3,1.32822550655778,103.934469289425,406 BEDOK NORTH AVENUE 3 RAINBOW VILLE SINGAPORE 460406,ok
55 NEW UPP CHANGI RD,1.32509255644891,103.942110168405,55 NEW UPPER CHANGI ROAD SINGAPORE 461055,ok
66 BEDOK STH AVE 3,1.31849377884951,103.943872460454,66 BEDOK SOUTH AVENUE 3 SIGLAP LUCKY VALLEY SINGAPORE 460066,ok
103 LENGKONG TIGA,1.32585546338587,103.910598910975,103 LENGKONG TIGA KEMBANGAN GARDENS SINGAPORE 410103,ok
67 BEDOK STH AVE 3,1.31897410282406,103.944076222052,67 BEDOK SOUTH AVENUE 3 SIGLAP LUCKY VALLEY SINGAPORE 460067,ok
114 BEDOK RESERVOIR RD,1.33056065989658,103.909838947885,114 BEDOK RESERVOIR ROAD EUNOS VISTA SINGAPORE 470114,ok
10D BEDOK STH AVE 2,1.3217708591015,103.936326570445,10D BEDOK SOUTH AVENUE 2 SINGAPORE 463010,ok
629 BEDOK RESERVOIR RD,1.33439908281466,103.914501162624,629 BEDOK RESERVOIR ROAD EUNOS HEIGHTS SINGAPORE 470629,ok
104 LENGKONG TIGA,1.32563496745023,103.909815198327,104 LENGKONG TIGA KEMBANGAN GARDENS SINGAPORE 410104,ok
308 SHUNFU RD,1.35058252902296,103.837846846026,308 SHUNFU ROAD SHUNFU GARDENS SINGAPORE 570308,ok
271 BISHAN ST 24,1.35661575812609,103.842317636339,271 BISHAN STREET 24 SINGAPORE 570271,ok
107 BISHAN ST 12,1.34641761420969,103.847920706844,107 BISHAN STREET 12 BISHAN VIEW SINGAPORE 570107,ok
239 BISHAN ST 22,1.36042894626787,103.8447773181,239 BISHAN STREET 22 SINGAPORE 570239,ok
264 BISHAN ST 24,1.35865897891792,103.842049817206,264 BISHAN STREET 24 SINGAPORE 570264,ok
177 BISHAN ST 13,1.3478462316134,103.853549587529,177 BISHAN STREET 13 SINGAPORE 570177,ok
